Bulgarian split squat cuadriceps.mp4,Sentadilla búlgara cuádriceps,Piernas,Demostración de Sentadilla búlgara cuádriceps,Coloca el empeine del pie trasero sobre un banco y el pie delantero adelante a una distancia cómoda|Mantén el torso lo más vertical posible con las manos libres o sosteniendo mancuernas a los lados|Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo|Empuja con el talón delantero para subir sin impulsarte con la pierna trasera|Mantén la rodilla delantera alineada con la punta del pie y evita que se colapse hacia adentro
Bulgarian split squat glute.mp4,Sentadilla búlgara glúteo,Piernas,Demostración de Sentadilla búlgara glúteo,Coloca el pie trasero elevado en un banco y adelanta más el pie delantero que en la variante de cuádriceps|Inclina ligeramente el torso hacia adelante manteniendo la espalda neutra|Baja de forma controlada hasta sentir el estiramiento en el glúteo de la pierna delantera|Empuja con el talón delantero y aprieta el glúteo al subir|Mantén el core activo y la rodilla delantera estable durante todo el movimiento
Bumbell french press.mp4,Press francés con mancuernas,Brazos,Demostración de Press francés con mancuernas,Acuéstate en un banco plano con una mancuerna en cada mano y los brazos extendidos sobre el pecho|Mantén los codos apuntando hacia el techo y fijos en su posición durante todo el movimiento|Flexiona solo los codos bajando las mancuernas a los lados de la cabeza de forma controlada|Extiende los brazos apretando los tríceps sin mover la posición de los codos|Evita arquear excesivamente la espalda baja y usa un peso que puedas controlar
Cable lat pull-over.mp4,Pull-over en polea,Espalda,Demostración de Pull-over en polea,Colócate de pie frente a la polea alta con un agarre amplio en la barra o cuerda|Da un paso atrás y flexiona ligeramente las rodillas manteniendo el core activado|Con los brazos casi extendidos lleva el agarre en arco hacia las caderas apretando el pecho|Mantén los codos ligeramente flexionados y el torso estable sin balancearte|Regresa de forma controlada hasta sentir el estiramiento en el pecho y la espalda
Cable lateral raise.mp4,Elevaciones laterales en polea,Hombros,Demostración de Elevaciones laterales en polea,Colócate de lado a la polea baja y agarra el mango con la mano alejada de la máquina|Párate erguido con el core activado y un ligero flexión en el codo de la mano de trabajo|Eleva el brazo lateralmente hasta la altura del hombro sin subir el trapecio|Baja de forma controlada resistiendo la tensión de la polea|Mantén el torso quieto y evita usar impulso del cuerpo
Cable pull through.mp4,Pull through en polea,Piernas,Demostración de Pull through en polea,Colócate de espaldas a la polea baja con la cuerda entre las piernas y da unos pasos hacia adelante|Flexiona las caderas hacia atrás manteniendo la espalda recta y las rodillas ligeramente flexionadas|Extiende las caderas empujando con los glúteos y llevando la cuerda hacia adelante|Aprieta los glúteos en la parte alta sin hiperextender la espalda|Regresa de forma controlada flexionando nuevamente las caderas
Cable row.mp4,Remo en polea,Espalda,Demostración de Remo en polea,Siéntate en la máquina con los pies apoyados y las rodillas ligeramente flexionadas|Agarra el mango con el pecho alto y los brazos extendidos sin redondear la espalda|Tira del mango hacia el abdomen apretando los omóplatos hacia atrás|Mantén el torso estable y pausa un segundo en la contracción|Extiende los brazos de forma controlada sin dejar que el peso te jale hacia adelante
Cable triceps kickback.mp4,Patada de tríceps en polea,Brazos,Demostración de Patada de tríceps en polea,Colócate frente a la polea baja y agarra el mango con una mano|Inclínate ligeramente hacia adelante y lleva el codo pegado al costado a 90 grados|Extiende el antebrazo hacia atrás apretando el tríceps hasta bloquear suavemente el codo|Mantén el codo fijo en su posición sin balancear el brazo|Regresa de forma controlada hasta la posición inicial
Chest-supported  row.mp4,Remo con apoyo en pecho,Espalda,Demostración de Remo con apoyo en pecho,Acuéstate boca abajo en el banco inclinado con el pecho apoyado y los pies firmes en el suelo|Agarra las mancuernas o la barra con los brazos colgando y la espalda neutra|Tira del peso hacia las costillas apretando los omóplatos sin levantar el pecho del banco|Mantén los codos a unos 45 grados del cuerpo durante el tirón|Baja el peso de forma controlada hasta extender los brazos
Chin-up.mp4,Dominadas supinas,Espalda,Demostración de Dominadas supinas,Cuelga de la barra con las palmas hacia ti y las manos al ancho de hombros|Activa el core y retrae los omóplatos antes de iniciar el tirón|Tira del cuerpo hacia arriba llevando el pecho hacia la barra|Sube hasta que la barbilla pase la barra sin balancear las piernas|Baja de forma controlada hasta extender completamente los brazos
Close-grip bench press.mp4,Press de banca agarre cerrado,Pecho,Demostración de Press de banca agarre cerrado,Acuéstate en el banco con los pies firmes y agarra la barra con las manos al ancho de hombros|Mantén los codos pegados al cuerpo durante todo el movimiento|Baja la barra de forma controlada hasta la parte baja del pecho o la parte alta del abdomen|Empuja la barra hacia arriba extendiendo los codos y apretando los tríceps|Evita levantar excesivamente los hombros y mantén las muñecas rectas
Close-grip Dips.mp4,Fondos agarre cerrado,Brazos,Demostración de Fondos agarre cerrado,Sujétate de las paralelas con las manos más juntas que el ancho de hombros|Mantén el cuerpo vertical con el pecho ligeramente inclinado hacia adelante|Baja flexionando los codos hasta formar aproximadamente 90 grados|Empuja con las palmas para subir enfocándote en la contracción de tríceps|Mantén los hombros alejados de las orejas y el movimiento controlado
Close-grips pushup.mp4,Flexiones agarre cerrado,Pecho,Demostración de Flexiones agarre cerrado,Colócate en posición de plancha con las manos juntas debajo del pecho formando un triángulo|Mantén el cuerpo en línea recta desde la cabeza hasta los talones|Baja el pecho hacia las manos flexionando los codos pegados al cuerpo|Empuja el suelo para subir extendiendo los brazos y apretando los tríceps|No dejes caer las caderas ni arquees excesivamente la espalda baja
Deadlift-grip mixto.mp4,Peso muerto agarre mixto,Piernas,Demostración de Peso muerto agarre mixto,Párate con los pies al ancho de caderas y la barra sobre la mitad del pie|Agarra la barra con una mano en prono y otra en supino manteniendo los brazos rectos|Flexiona las caderas y rodillas hasta que los muslos queden paralelos al suelo con la espalda neutra|Empuja el suelo con los talones y extiende caderas y rodillas al unísono manteniendo la barra cerca del cuerpo|Termina erguido apretando los glúteos sin hiperextender la espalda y cambia el agarre en cada serie
Deadlift-grip prono.mp4,Peso muerto agarre prono,Piernas,Demostración de Peso muerto agarre prono,Párate con los pies al ancho de caderas y la barra sobre la mitad del pie|Agarra la barra con ambas palmas hacia abajo al ancho de hombros|Flexiona las caderas empujándolas hacia atrás con la espalda recta y el pecho alto|Empuja el suelo con los talones y extiende las caderas llevando la barra pegada a las piernas|Baja la barra de forma controlada siguiendo el mismo recorrido inverso
Diamond pushup.mp4,Flexiones diamante,Pecho,Demostración de Flexiones diamante,Colócate en plancha con las manos juntas formando un diamante con los pulgares e índices|Mantén el cuerpo rígido con el core activado y los pies juntos o ligeramente separados|Baja el pecho hacia las manos manteniendo los codos cerca del cuerpo|Empuja el suelo para subir hasta extender los brazos sin perder la alineación del cuerpo|Si es muy difícil apoya las rodillas manteniendo la misma forma
Dips.mp4,Fondos en paralelas,Pecho,Demostración de Fondos en paralelas,Sujétate de las barras con los brazos extendidos y el cuerpo suspendido|Inclina ligeramente el torso hacia adelante para enfatizar el pecho|Baja flexionando los codos hasta que los hombros queden por debajo de los codos|Empuja con las palmas para subir hasta extender los brazos sin bloquear bruscamente|Mantén el movimiento controlado y evita balancearte
Dumbbell overhead press.mp4,Press militar con mancuernas,Hombros,Demostración de Press militar con mancuernas,Siéntate o párate con una mancuerna en cada mano a la altura de los hombros|Mantén el core activado y la espalda neutra sin arquear excesivamente la zona lumbar|Empuja las mancuernas hacia arriba hasta extender los brazos sobre la cabeza|Baja de forma controlada hasta que los codos queden a 90 grados o un poco más abajo|Evita usar impulso de las piernas y mantén las muñecas rectas
Dumbbell preacher curl.mp4,Curl predicador con mancuernas,Brazos,Demostración de Curl predicador con mancuernas,Apoya el brazo en el banco predicador con el pecho contra el respaldo|Sostén la mancuerna con la palma hacia arriba y el brazo extendido sobre el cojín|Flexiona el codo llevando la mancuerna hacia el hombro sin levantar el codo del banco|Aprieta el bíceps en la parte superior y baja de forma controlada|Mantén la muñeca neutra durante todo el movimiento
Dumbbell triceps kickback.mp4,Patada de tríceps con mancuerna,Brazos,Demostración de Patada de tríceps con mancuerna,Apoya una rodilla y la misma mano en un banco con la espalda paralela al suelo|Sostén la mancuerna con el codo pegado al costado a 90 grados|Extiende el antebrazo hacia atrás apretando el tríceps hasta casi bloquear el codo|Mantén el codo fijo y el hombro estable sin rotar el torso|Baja la mancuerna de forma controlada hasta la posición inicial
Dumbell skullcrushers.mp4,Skull crusher con mancuernas,Brazos,Demostración de Skull crusher con mancuernas,Acuéstate en un banco plano con una mancuerna en cada mano y los brazos extendidos sobre el pecho|Mantén los codos apuntando hacia el techo y fijos durante todo el movimiento|Flexiona los codos bajando las mancuernas a los lados de la cabeza de forma controlada|Extiende los brazos apretando los tríceps sin mover la posición de los codos|Usa un peso moderado y evita que las mancuernas se acerquen demasiado a la cara
Extension de triceps con barra en polea alta grip supino.mp4,Extensión de tríceps en polea alta agarre supino,Brazos,Demostración de Extensión de tríceps en polea alta agarre supino,Colócate frente a la polea alta y agarra la barra con las palmas hacia arriba|Mantén los codos pegados a los costados y el core activado|Extiende los codos empujando la barra hacia abajo hasta casi bloquear|Aprieta los tríceps en la parte baja sin dejar que los codos se separen del cuerpo|Regresa de forma controlada hasta que los antebrazos queden paralelos al suelo
Extension de triceps en polea alta con barra gripp prono.mp4,Extensión de tríceps en polea alta agarre prono,Brazos,Demostración de Extensión de tríceps en polea alta agarre prono,Colócate frente a la polea alta y agarra la barra con las palmas hacia abajo|Fija los codos a los costados y mantén el torso erguido|Empuja la barra hacia abajo extendiendo los codos hasta el final del recorrido|Mantén las muñecas rectas y aprieta los tríceps en la contracción|Sube de forma controlada sin dejar que el peso te levante los codos
Extension de triceps en polea alta con barra V.mp4,Extensión de tríceps en polea alta con barra V,Brazos,Demostración de Extensión de tríceps en polea alta con barra V,Agarra la barra en V con las palmas enfrentadas frente a la polea alta|Inclínate ligeramente hacia adelante y mantén los codos fijos a los costados|Extiende los codos empujando la barra hacia abajo y ligeramente hacia afuera|Aprieta los tríceps en la parte baja del movimiento|Regresa de forma controlada hasta la posición inicial
Extension de triceps en polea baja tras nunca con barra grips prono.mp4,Extensión de tríceps en polea baja tras nuca con barra,Brazos,Demostración de Extensión de tríceps en polea baja tras nuca con barra,De espaldas a la polea baja sostén la barra con ambas manos detrás de la cabeza|Da un paso hacia adelante y flexiona los codos apuntando hacia el techo|Extiende los brazos hacia adelante y arriba manteniendo los codos altos y estables|Aprieta los tríceps en la extensión completa sin arquear la espalda|Baja la barra de forma controlada detrás de la cabeza
Extension de triceps en polea baja tras nunca con mecate.mp4,Extensión de tríceps en polea baja tras nuca con cuerda,Brazos,Demostración de Extensión de tríceps en polea baja tras nuca con cuerda,De espaldas a la polea baja agarra los extremos de la cuerda detrás de la cabeza|Da un paso hacia adelante con los codos apuntando hacia arriba y el core activado|Extiende los brazos separando ligeramente los extremos de la cuerda al final|Mantén los codos fijos y aprieta los tríceps en la contracción|Regresa de forma controlada flexionando los codos sin perder la postura
Extension de triceps tras nunca unilateral.mp4,Extensión de tríceps tras nuca unilateral,Brazos,Demostración de Extensión de tríceps tras nuca unilateral,De espaldas a la polea baja agarra el mango con una mano detrás de la cabeza|Mantén el codo apuntando hacia arriba y el core activado|Extiende el brazo hacia adelante y arriba hasta casi bloquear el codo|Aprieta el tríceps en la parte alta sin mover el codo de su posición|Baja de forma controlada y completa todas las repeticiones antes de cambiar de brazo
Flat dumbbell press.mp4,Press plano con mancuernas,Pecho,Demostración de Press plano con mancuernas,Acuéstate en el banco con una mancuerna en cada mano a la altura del pecho|Retrae los omóplatos y apoya los pies firmemente en el suelo|Empuja las mancuernas hacia arriba hasta casi juntarlas sobre el pecho|Baja de forma controlada hasta que los codos queden ligeramente por debajo del banco|Mantén las muñecas rectas y los codos a unos 45 grados del torso
Goblet Squat.mp4,Sentadilla goblet,Piernas,Demostración de Sentadilla goblet,Sostén una mancuerna o kettlebell verticalmente contra el pecho con ambas manos|Pisa el suelo con los pies al ancho de hombros y las puntas ligeramente abiertas|Baja empujando las caderas hacia atrás manteniendo el pecho alto y los codos dentro de las rodillas|Desciende hasta que los codos toquen las rodillas o los muslos queden paralelos|Empuja el suelo con los talones para subir manteniendo el peso pegado al pecho
Hack squat.mp4,Hack squat,Piernas,Demostración de Hack squat,Colócate en la máquina con los hombros bajo las almohadillas y la espalda contra el respaldo|Posiciona los pies al ancho de hombros en la plataforma con las puntas ligeramente hacia afuera|Desbloquea la máquina y baja flexionando las rodillas manteniendo la espalda pegada al respaldo|Desciende hasta que las rodillas formen aproximadamente 90 grados sin levantar los talones|Empuja con los talones para extender las piernas sin bloquear las rodillas al final
Half-kneeling 1-arn lat pulldown.mp4,Jalón al pecho a un brazo medio arrodillado,Espalda,Demostración de Jalón al pecho a un brazo medio arrodillado,Arrodíllate a un lado de la polea alta con la rodilla y el pie del mismo lado apoyados en el suelo|Agarra el mango con el brazo alejado de la polea y el torso erguido|Tira del mango hacia la costilla lateral apretando el omóplato|Mantén el torso estable y el codo cerca del cuerpo durante el tirón|Extiende el brazo de forma controlada hasta sentir el estiramiento en la espalda
Horizontal leg press.mp4,Prensa de piernas horizontal,Piernas,Demostración de Prensa de piernas horizontal,Acuéstate en la máquina con la espalda y los glúteos apoyados y los pies en la plataforma|Coloca los pies al ancho de hombros y desbloquea las trabas de seguridad|Baja la plataforma de forma controlada flexionando las rodillas hasta aproximadamente 90 grados|Empuja con los talones extendiendo las piernas sin bloquear las rodillas|Mantén las rodillas alineadas con los pies y vuelve a trabar al terminar
incline bench press.mp4,Press inclinado con barra,Pecho,Demostración de Press inclinado con barra,Acuéstate en el banco inclinado a 30-45 grados con los pies firmes en el suelo|Retrae los omóplatos y agarra la barra un poco más ancha que los hombros|Baja la barra de forma controlada hasta la parte superior del pecho|Empuja la barra hacia arriba en línea recta manteniendo los codos a 45 grados|Mantén las caderas apoyadas en el banco durante todo el movimiento
Incline dumnbell press.mp4,Press inclinado con mancuernas,Pecho,Demostración de Press inclinado con mancuernas,Acuéstate en el banco inclinado con una mancuerna en cada mano a la altura del pecho|Retrae los omóplatos y mantén los pies firmes en el suelo|Empuja las mancuernas hacia arriba hasta casi juntarlas sobre el pecho superior|Baja de forma controlada hasta que los codos queden ligeramente por debajo del banco|Mantén las muñecas rectas y evita rebotes en la parte baja
Incline smith machine press.mp4,Press inclinado en Smith,Pecho,Demostración de Press inclinado en Smith,Coloca un banco inclinado bajo la barra del Smith y acuéstate con el pecho alineado bajo la barra|Agarra la barra con las manos un poco más anchas que los hombros|Gira las muñecas para desbloquear la barra y bájala hasta la parte superior del pecho|Empuja la barra hacia arriba siguiendo la trayectoria fija de la máquina|Vuelve a trabar la barra al terminar la serie
Jm press.mp4,Press JM,Brazos,Demostración de Press JM,Acuéstate en el banco con la barra sobre el pecho y las manos al ancho de hombros|Baja la barra de forma controlada hasta la parte alta del pecho o la base del cuello|Desde esa posición extiende parcialmente los codos sin bloquearlos completamente|Regresa la barra al pecho y repite el movimiento híbrido entre press y extensión|Mantén los codos relativamente cerca del cuerpo y usa un peso moderado
Leg Extension.mp4,Extensión de piernas,Piernas,Demostración de Extensión de piernas,Siéntate en la máquina con la espalda pegada al respaldo y los tobillos detrás del rodillo|Ajusta el rodillo justo encima de los tobillos y agarra los mangos laterales|Extiende las piernas de forma controlada apretando los cuádriceps en la parte alta|Pausa un segundo sin bloquear bruscamente las rodillas|Baja el peso de forma lenta resistiendo hasta que las rodillas queden a 90 grados
Low bar squat.mp4,Sentadilla barra baja,Piernas,Demostración de Sentadilla barra baja,Coloca la barra sobre los deltoides posteriores y aprieta los omóplatos|Pisa el suelo con los pies al ancho de hombros y el core activado|Baja empujando las caderas hacia atrás con el torso inclinado y la espalda neutra|Desciende hasta la profundidad que permita tu movilidad sin perder la curvatura lumbar|Empuja el suelo con los talones para subir manteniendo la barra estable
Lunge.mp4,Zancada,Piernas,Demostración de Zancada,Párate erguido con los pies al ancho de caderas y da un paso largo hacia adelante|Baja flexionando ambas rodillas hasta que la trasera casi toque el suelo|Mantén el torso erguido y la rodilla delantera alineada con la punta del pie|Empuja con el talón delantero para volver a la posición inicial|Alterna las piernas o completa todas las repeticiones de un lado antes de cambiar
Machine chest press.mp4,Press de pecho en máquina,Pecho,Demostración de Press de pecho en máquina,Ajusta el asiento para que los mangos queden a la altura del pecho medio|Siéntate con la espalda pegada al respaldo y los pies firmes en el suelo|Empuja los mangos hacia adelante hasta casi extender los brazos sin bloquear los codos|Aprieta el pecho en la contracción y regresa de forma controlada|Mantén los hombros pegados al respaldo durante todo el movimiento
Machine Dips.mp4,Fondos en máquina,Brazos,Demostración de Fondos en máquina,Ajusta el asiento y las almohadillas para que los codos queden alineados con los hombros|Agarra los mangos con los brazos extendidos y el pecho erguido|Baja flexionando los codos de forma controlada hasta aproximadamente 90 grados|Empuja los mangos para subir extendiendo los brazos y apretando tríceps o pecho|Mantén los hombros bajos y evita encogerlos hacia las orejas
Machine hip adbuction.mp4,Abducción de cadera en máquina,Piernas,Demostración de Abducción de cadera en máquina,Siéntate en la máquina con la espalda pegada al respaldo y los pies en los apoyos|Coloca las piernas contra las almohadillas laterales con las rodillas alineadas|Empuja las piernas hacia afuera abriendo las caderas de forma controlada|Aprieta los glúteos en la parte abierta sin arquear la espalda|Regresa de forma lenta resistiendo el peso hasta la posición inicial
Machine preacher curl.mp4,Curl predicador en máquina,Brazos,Demostración de Curl predicador en máquina,Siéntate en la máquina y apoya los brazos completamente sobre el cojín inclinado|Agarra la barra con las palmas hacia arriba y los brazos extendidos|Flexiona los codos llevando la barra hacia los hombros sin levantar los brazos del cojín|Aprieta los bíceps en la parte superior y baja de forma controlada|Mantén las muñecas neutras y evita usar impulso del cuerpo
Meadows row.mp4,Remo Meadows,Espalda,Demostración de Remo Meadows,Coloca un extremo de la barra en un rincón o soporte y carga el otro extremo|Párate perpendicular a la barra y agárrala con una mano usando un mango si es necesario|Inclínate ligeramente hacia adelante con la rodilla del lado de trabajo adelantada|Tira de la barra hacia la cadera apretando el omóplato sin rotar excesivamente el torso|Baja de forma controlada y completa las repeticiones antes de cambiar de lado
Nautilus glute drive.mp4,Glute drive Nautilus,Piernas,Demostración de Glute drive Nautilus,Colócate en la máquina con la parte superior de la espalda contra el respaldo y los pies en la plataforma|Ajusta la almohadilla sobre las caderas y suelta las trabas de seguridad|Baja las caderas de forma controlada sin perder el contacto con el respaldo|Empuja con los talones y aprieta los glúteos hasta extender completamente las caderas|Evita hiperextender la espalda baja en la parte alta del movimiento
Neutral-grip pull-up.mp4,Dominadas agarre neutro,Espalda,Demostración de Dominadas agarre neutro,Cuelga de la barra con las palmas enfrentadas al ancho de hombros|Activa el core y retrae los omóplatos antes de iniciar el tirón|Tira del cuerpo hacia arriba llevando el pecho hacia la barra|Sube hasta que la barbilla pase la barra con un movimiento controlado|Baja lentamente hasta extender completamente los brazos
Neutral-grip pulldown.mp4,Jalón al pecho agarre neutro,Espalda,Demostración de Jalón al pecho agarre neutro,Siéntate en la máquina con los muslos fijos bajo las almohadillas|Agarra la barra con las palmas enfrentadas y los brazos extendidos|Tira de la barra hacia la parte alta del pecho apretando los omóplatos|Mantén el torso erguido y evita balancearte hacia atrás|Extiende los brazos de forma controlada hasta la posición inicial
Pendlay row.mp4,Remo Pendlay,Espalda,Demostración de Remo Pendlay,Coloca la barra en el suelo y párate con los pies al ancho de caderas|Inclínate con la espalda paralela al suelo y agarra la barra con las palmas hacia abajo|Tira de la barra explosivamente hacia el abdomen bajo apretando los omóplatos|Deja que la barra vuelva a tocar el suelo en cada repetición con el torso estable|Mantén la espalda neutra y los codos cerca del cuerpo durante el tirón
Pendulum Squat.mp4,Sentadilla péndulo,Piernas,Demostración de Sentadilla péndulo,Colócate en la máquina con los hombros bajo las almohadillas y los pies en la plataforma|Desbloquea la máquina y baja de forma controlada flexionando las rodillas|Desciende hasta la profundidad que permita la máquina manteniendo la espalda contra el respaldo|Empuja con los talones para subir sin bloquear las rodillas|Mantén el core activo y las rodillas alineadas con los pies
Pushup.mp4,Flexiones,Pecho,Demostración de Flexiones,Colócate en posición de plancha con las manos al ancho de hombros y el cuerpo en línea recta|Mantén el core activado y los codos a unos 45 grados del cuerpo|Baja el pecho hacia el suelo flexionando los codos de forma controlada|Empuja el suelo para subir hasta extender los brazos sin dejar caer las caderas|Mantén la cabeza neutra mirando ligeramente hacia adelante
Remo unilateral en banco plano.mp4,Remo unilateral en banco plano,Espalda,Demostración de Remo unilateral en banco plano,Apoya una rodilla y la misma mano en un banco con la espalda paralela al suelo|Sostén la mancuerna con el brazo libre colgando y la espalda neutra|Tira de la mancuerna hacia la cadera apretando el omóplato sin rotar el torso|Mantén el codo cerca del cuerpo y pausa un segundo en la contracción|Baja de forma controlada y completa las repeticiones antes de cambiar de lado
Reverse pec deck.mp4,Pec deck inverso,Hombros,Demostración de Pec deck inverso,Siéntate de frente a la máquina con el pecho contra el respaldo|Agarra los mangos con los brazos extendidos a la altura de los hombros|Abre los brazos hacia atrás de forma controlada apretando los deltoides posteriores|Mantén una ligera flexión en los codos y el pecho pegado al respaldo|Regresa los mangos de forma lenta resistiendo el peso hasta la posición inicial
Romanian Deadlift.mp4,Peso muerto rumano,Piernas,Demostración de Peso muerto rumano,Párate con los pies al ancho de caderas sosteniendo la barra frente a los muslos|Mantén las rodillas ligeramente flexionadas y la espalda recta durante todo el movimiento|Empuja las caderas hacia atrás bajando la barra pegada a las piernas|Baja hasta sentir un estiramiento moderado en los isquiotibiales sin redondear la espalda|Empuja las caderas hacia adelante para subir apretando los glúteos
Sissy squat.mp4,Sentadilla sissy,Piernas,Demostración de Sentadilla sissy,Colócate de pie con los talones elevados en un soporte y las manos sosteniendo un apoyo para equilibrio|Mantén el cuerpo erguido y baja inclinándote hacia atrás flexionando las rodillas|Desciende de forma controlada llevando las rodillas hacia adelante sobre los pies|Sube empujando con los cuádriceps hasta extender las rodillas sin bloquear bruscamente|Mantén el movimiento lento y controlado para proteger las rodillas
Skullcrusher.mp4,Skull crusher,Brazos,Demostración de Skull crusher,Acuéstate en un banco plano con la barra extendida sobre el pecho y las manos al ancho de hombros|Mantén los codos apuntando hacia el techo y fijos durante todo el movimiento|Flexiona los codos bajando la barra hacia la frente de forma controlada|Extiende los brazos apretando los tríceps sin mover la posición de los codos|Usa un peso que puedas controlar y evita que la barra golpee la cabeza
Smith machine Jm press.mp4,Press JM en Smith,Brazos,Demostración de Press JM en Smith,Coloca un banco plano bajo la barra del Smith y acuéstate con el pecho alineado|Agarra la barra al ancho de hombros y desbloquéala con las muñecas rectas|Baja la barra hasta la parte alta del pecho y extiende parcialmente los codos|Regresa la barra al pecho repitiendo el movimiento híbrido de press y extensión|Vuelve a trabar la barra al terminar la serie
Smith machine lunge ELEVATED.mp4,Zancada en Smith elevada,Piernas,Demostración de Zancada en Smith elevada,Coloca un banco bajo el pie trasero y posiciona la barra del Smith sobre los trapecios|Da un paso adelante con el pie delantero y desbloquea la barra|Baja flexionando la rodilla delantera hasta que el muslo quede paralelo al suelo|Empuja con el talón delantero para subir manteniendo el pie trasero elevado|Completa las repeticiones y cambia de pierna
